time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443050000	0.735335	0.629467	7.20389	-2.01234e-17	-1.02444e-17	radar	74.6701	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443150000	0.906123	0.146404	7.29217	0.11815	0.0433003	radar	1.23647	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443250000	1.49261	0.504004	6.5225	0.308984	0.0606726	radar	4.60568	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443350000	1.97472	0.568276	5.82752	0.202513	-0.117702	radar	5.48451	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443450000	2.60899	0.602127	5.64492	0.0572696	-0.482858	radar	3.30154	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443550000	3.24304	0.498081	5.63059	-0.175294	-1.06792	radar	2.80545	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443650000	3.87219	0.549596	5.6155	-0.102495	-0.554962	radar	3.44565	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443750000	4.43886	0.565423	5.52592	-0.0955512	-0.433098	radar	2.07423	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443850000	4.98651	0.550931	5.41604	-0.120225	-0.421342	radar	3.37479	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443950000	5.48429	0.579835	5.38977	-0.0729413	-0.243163	radar	1.73995	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444050000	5.98575	0.449122	5.33955	-0.161521	-0.362237	radar	1.70964	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444150000	6.50925	0.551612	5.25468	-0.0800742	-0.182373	radar	3.76133	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444250000	7.02915	0.539366	5.1666	-0.0860128	-0.168631	radar	3.36891	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444350000	7.61781	0.61061	5.23831	-0.0362266	-0.077686	radar	5.04297	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444450000	8.13924	0.686038	5.15458	0.000153535	-0.0256135	radar	3.4541	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444550000	8.65322	0.938587	5.18822	0.11569	0.107673	radar	7.59969	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444650000	9.23902	1.03039	5.23839	0.137518	0.119433	radar	5.25548	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444750000	9.7884	1.21892	5.27004	0.194554	0.164188	radar	2.6718	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444850000	10.2924	1.44849	5.20623	0.261074	0.213926	radar	3.46427	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444950000	10.7647	1.64324	5.11123	0.308382	0.24165	radar	3.31446	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445050000	11.287	1.69744	5.13471	0.292813	0.205689	radar	1.37481	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445150000	11.7431	1.78426	5.07536	0.294666	0.191425	radar	1.88741	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445250000	12.2292	1.98355	5.12603	0.326805	0.200366	radar	1.04237	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445350000	12.7237	2.05984	5.1516	0.314807	0.171995	radar	1.88044	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445450000	13.2245	2.31584	5.23484	0.356013	0.188281	radar	2.25504	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445550000	13.5612	2.69685	5.10884	0.44812	0.253196	radar	12.9603	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445650000	13.9968	2.89353	5.07314	0.468152	0.250948	radar	0.673961	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445750000	14.4888	3.05297	5.1237	0.463295	0.222249	radar	1.45922	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445850000	14.916	3.42481	5.18446	0.521664	0.246271	radar	2.62923	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445950000	15.3302	3.79287	5.17187	0.581234	0.276934	radar	1.39767	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446050000	15.77	3.95493	5.12315	0.576538	0.254547	radar	1.8134	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446150000	16.1787	4.25051	5.07014	0.614346	0.271325	radar	1.66989	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446250000	16.6076	4.52894	5.07515	0.634307	0.265668	radar	0.248576	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446350000	16.9318	4.92953	4.98315	0.709857	0.317999	radar	5.5216	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446450000	17.304	5.16799	4.91294	0.72767	0.315386	radar	1.78158	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446550000	17.6568	5.39231	4.81975	0.745716	0.315789	radar	2.9509	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446650000	17.9497	5.8111	4.79167	0.814458	0.352074	radar	1.8445	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446750000	18.2339	6.27611	4.82772	0.879303	0.372835	radar	1.0621	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
