time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	2.24642e-314	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443100000	1.15507	0.483257	0.0836164	9.89334e-18	0	lidar	0.728625	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443200000	1.44966	0.553238	0.99306	0.015386	0.00252332	lidar	4.83014	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443300000	1.90356	0.594694	2.55386	0.157578	0.0373995	lidar	8.86004	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443400000	2.41077	0.636472	3.69607	0.110306	0.0175987	lidar	6.6765	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443500000	2.87476	0.631852	4.15852	0.0140879	-0.0270271	lidar	1.88339	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443600000	3.57837	0.38483	4.93827	-0.339016	-0.320016	lidar	9.85903	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443700000	4.1737	0.481104	5.1888	-0.0610253	0.238937	lidar	3.26171	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443800000	4.55384	0.746548	4.82481	0.25248	0.870007	lidar	5.95374	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443900000	5.21511	0.715345	5.23511	0.131007	0.342773	lidar	7.64371	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010444000000	5.83772	0.723773	5.43678	0.0824522	0.147698	lidar	2.51163	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444100000	6.35405	0.887297	5.43289	0.202185	0.357184	lidar	0.498277	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444200000	6.85975	0.830523	5.35329	0.100355	0.110128	lidar	1.83435	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444300000	7.30565	0.936885	5.23792	0.155093	0.182995	lidar	1.93394	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444400000	7.82522	0.856409	5.20497	0.0613738	0.0139286	lidar	1.86056	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444500000	8.31585	0.865671	5.16161	0.0499676	-0.00411974	lidar	0.3383	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444600000	8.80353	0.970271	5.13706	0.0970096	0.0573401	lidar	0.759252	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444700000	9.29693	1.03527	5.11617	0.111112	0.0674489	lidar	0.121646	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444800000	9.86395	1.24799	5.22659	0.195449	0.157564	lidar	5.10604	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444900000	10.3393	1.40142	5.18581	0.236953	0.186202	lidar	0.773214	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010445000000	10.8142	1.49928	5.14067	0.244304	0.17437	lidar	0.560584	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445100000	11.3834	1.6154	5.23965	0.25028	0.161724	lidar	2.49749	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445200000	11.8605	1.75081	5.19973	0.269732	0.16537	lidar	0.40142	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445300000	12.3531	1.8532	5.1771	0.270135	0.149011	lidar	0.390167	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445400000	12.7784	2.06761	5.10153	0.321861	0.187061	lidar	2.99194	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445500000	13.2104	2.2998	5.05757	0.372647	0.220194	lidar	1.77265	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445600000	13.716	2.53152	5.12748	0.407118	0.232477	lidar	1.40166	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445700000	14.1847	2.80802	5.16119	0.456991	0.259812	lidar	1.23582	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445800000	14.6003	3.00224	5.08088	0.474319	0.251553	lidar	1.69136	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445900000	15.0335	3.32937	5.11201	0.536203	0.28984	lidar	2.11211	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010446000000	15.4748	3.67114	5.16719	0.592174	0.317736	lidar	1.7563	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446100000	15.9185	3.97422	5.19879	0.623093	0.316467	lidar	0.248492	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446200000	16.3274	4.3361	5.22777	0.67522	0.337868	lidar	0.779211	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446300000	16.694	4.67622	5.19024	0.719343	0.349301	lidar	0.501601	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446400000	17.0458	5.08725	5.20609	0.783219	0.37987	lidar	1.21001	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446500000	17.3744	5.45866	5.16663	0.828786	0.388432	lidar	0.471473	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446600000	17.7466	5.77475	5.13156	0.836963	0.356308	lidar	1.59256	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446700000	18.0954	6.16188	5.14512	0.869247	0.352594	lidar	0.0623728	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446800000	18.3543	6.60016	5.12023	0.93547	0.38574	lidar	1.52318	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
