time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	6.95322e-310	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.735335	0.629467	7.20389	-2.01234e-17	-1.02444e-17	radar	74.6701	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1605	0.494943	7.20697	-0.127191	-0.0118512	lidar	0.220992	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25801	0.533087	7.19217	0.122696	0.0305933	radar	1.82499	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61582	0.595358	7.20568	0.161519	0.0461886	lidar	0.167369	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85111	0.561911	6.00961	0.0255322	-0.232628	radar	7.68509	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16294	0.591304	6.00926	0.0402315	-0.177049	lidar	0.253673	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37881	0.637258	5.60511	0.0563289	-0.338646	radar	6.27032	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65607	0.654416	5.60258	0.0451208	-0.317188	lidar	0.00820028	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92253	0.648028	5.53699	-0.00252653	-0.469796	radar	0.41766	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15841	0.643704	5.49284	-0.0158732	-0.435346	lidar	1.19946	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44395	0.539767	5.52519	-0.164196	-0.848853	radar	1.27598	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74708	0.427537	5.59166	-0.28298	-1.07043	lidar	2.08783	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02789	0.511636	5.55304	-0.146399	-0.549066	radar	4.14882	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.30179	0.503596	5.53501	-0.139415	-0.465975	lidar	0.373734	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.56248	0.539402	5.45276	-0.0992002	-0.329184	radar	2.09201	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.7522	0.645608	5.29166	0.000907763	-0.0871323	lidar	12.9496	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.00451	0.644084	5.22528	-0.00753022	-0.0962354	radar	1.93691	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
